RegistryID,TitleOfWork,YearOfInstallation,Status,DescriptionOfwork,ArtistProjectStatement,SiteName,SiteAddress,Neighbourhood,Latitude,Longitude,LocationOnsite,Type,PrimaryMaterial,Ownership,URL,PhotoURL,PhotoCredits,Artists
471,Passage - Bright Light,2010,Removed,Sculptural light installation,"Access Gallery is pleased to present a new work by Osvaldo Yero as part of Bright Light: a temporary public art project commissioned by the City of Vancouver that involves fourteen local art organizations. Guest curated by Charo Neville, Passage is one of a series of cultural projects that will be on view through the months of February and March along the Carrall Street Greenway in the Downtown Eastside. Yero’s project will be visible from the street during the day through the window of Access Gallery.   Peering through a revealed slot in the otherwise darkened window the viewer will experience intense flashes of light, created by flickering LED lights which momentarily highlight knife blades set against a black backdrop in a completely darkened room. The brief beams of light on the spikes of metal suggest the reflection of light created from a lighthouse beacon, announcing a vast dark sea. Engaging the individual senses, yet disorientating the viewer and evoking the feeling of being alone in the middle of a dark ocean at night, the work offers a sense of solitude within the public space of the street. Its contrasting beauty and brutality also incites inevitable reflections about violence and self-preservation in the marginalized neighbourhood in which the work is situated.  As an immigrant to Canada from Cuba, Yero has consistently been concerned with themes that relate to his experience as part of the growing Cuban diaspora. Since living in Canada, Yero still frequently visits his homeland, where many of his family and friends continue to live with limited possibilities to leave. Like the paradoxical freedom and panic that swimming in a wide dark ocean may induce, Cubans are legally bound to their country, which is both home and prison. Many who try to escape across the ocean do not survive, or arrive on the other side only to be returned. The metaphor of death prevails in Yero’s practice. The title of the work, Passage, reflects these ideas – water is evoked as the dual possibility of freedom and death.   This new work also addresses myriad issues of integration and dislocation facing immigrants to a new country. Exhibited during a global event promoting nationalistic pride through marketing terms such as “dream,” “discover,” and “celebrate,” the installation in turn speaks to the underlying complexities of these utopic ideals.   This project will also include a forthcoming exhibition catalogue, to be published by Access Gallery, in collaboration with the artist and the curator.",Access Gallery (Downtown Eastside),"206 Carrall Street Vancouver, BC V6B 2J1 (Downtown Eastside)",DowntownEastside,49.28298900,-123.10393400,Front window of gallery,Other,"LED lights, knives, enclosed room",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=471,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=471&ImageId=379,,341
472,Brawl - Bright Light,2010,Removed,Two hour performance (temporary),"Artspeak presents Brawl, a new performance work by the Vancouver artist collective Norma. The performance will occur on Andy Livingstone Field, dramatically lit by lights normally used for sporting events. The field is located off Carrall Street, in view of GM Place and other Olympic venues.Tying in ideas of sport and spectacle at the crossroads of contrasting areas of the city, Brawl highlights the fine line between violence and theatre. By extending the collective's interest in exploring group identity, public space, and collective behaviour, their choreographed and scripted performance includes texts and actions drawn from historical archives, film, and popular culture. Norma’s work troubles the defining actions of fan and protestor, peacekeeper and instigator.Norma’s past work draws from diverse sources, including visual and performance art histories, and social behaviour. The collective members are Vanessa Kwan, Diana Lopez Soto, Josh Neelands, Christy Nyiri, Pietro Sammarco, Erica Stocking, and Kara Uzelman. All members of Norma are undergraduates of Emily Carr Institute of Art and Design (now Emily Carr University) and have individual art practices.",Andy Livingstone Park,Carrall and Keefer Streets,DowntownEastside,49.27941600,-123.10610000,Field,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=472,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=472&ImageId=1050,,461
474,DTA Downtown Ambassadors - Bright Light,2010,Removed,"As the initial public-art project for the Audain Gallery at SFU Woodward's, four visual artists who are SFU Alumni have been commissioned to create new site-specific public art works. Coming Soon will address the qualities of the neighbourhood and the context of the new location of the School for the Contemporary Arts. As a public interface for the Audain Gallery Jamie Hilder created a project specifically designed for the internet on the Audain Gallery’s website. Hilder created a video work that documents his performance as a Downtown Ambassador.",,Audain Gallery ,149 West Hastings,,,,,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=474,,,365
475,I said no - Bright Light,2010,Removed,"Vinyl panels on each window section, with text","As the initial public-art project for the Audain Gallery at SFU Woodward's, four visual artists who are SFU Alumni have been commissioned to create new site-specific public art works. Coming Soon will address the qualities of the neighbourhood and the context of the new location of the School for the Contemporary Arts.I Said No exclaims variations on the ability and potential to say “no” as a civic and social right: in this sense, I Said No is a work about intellectual freedom the public sphere.",Audain Gallery at SFU Woodward’s (DTES),149 West Hastings (Downtown Eastside),DowntownEastside,49.28278800,-123.10776200,"Front windows, facing West Hastings Street",Other,Vinyl/ Text,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=475,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=475&ImageId=381,photo credit not available,3
476,AdmIndex - Bright Light,2010,Removed,"As the initial public-art project for the Audain Gallery at SFU Woodward's, four visual artists who are SFU Alumni have been commissioned to create new site-specific public art works. Coming Soon will address the qualities of the neighbourhood and the context of the new location of the School for the Contemporary Arts. As a public interface for the Audain Gallery, Lorna Brown has created a project specifically designed for the internet on the Audain Gallery’s website.  Lorna Brown has created a database index that uses the language of organizations in the Downtown Eastside.",,Audain Gallery ,149 West Hastings Street,,,,,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=476,,,462
477,World Tea Party - Bright Light,2010,Removed,"Animated by lead-artist Bryan Mulvill, Centre A hosts the latest incarnation of the World Tea Party, a social, interactive gathering space that acts as a work of art.  For the Vancouver installation of this international fête, the gallery will welcome visitors into a form of “social sculpture”.  Tea will be offered for free both inside the gallery and on the street, while video projections are shown on the building’s exterior windows.  Internet technology will connect Centre A with tea parties in other world cities, including Montréal, Yokohama, Vienna and Calcutta. Skwxumesh First Nations artist Cease Wyss will contribute a First Nations welcome event featuring indigenous local teas. The traditoonal Japanese tea ceremonies will be presented by Urasenke Vancouver. The relaxed atmosphere of the World Tea Party will encourage conversation and informal performance.",,Centre A,2 West Hastings,DowntownEastside,49.28131700,-123.10512300,Centre A & Pigeon Park,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=477,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=477&ImageId=382,,446;447;448;449;450;451;452;453;454;455;456;457;458;459;460;463;464
478,Window with Fake Newspapers - Bright Light,2010,Removed,,"Window with Fake Newspapers is a site-specific public work Commissioned by Fillip in collaboration with the City of Vancouver and Roma Publications, the Netherlands. Window with Fake Newspapers occupied the façade of 20 East Hastings Street, Vancouver—the former location of The Only Sea Foods, which operated as a restaurant since 1916 until it was closed this past summer due to health and drug infractions. The project utilizes a subtle fictive language to recast The Only Sea Foods as a site of both opacity and exchange. The work is part of Manders’ ongoing Self Portrait as a Building, a project the artist began in 1986.",The Only Sea Foods,20 East Hastings Street,,,,,Other,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=478,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=478&ImageId=383,,342
479,"Signs, City Wall, City Path - Bright Light",2010,Removed,"Signs, City Wall, City Path is a series of outdoor installations that humourously co-opts billboard marketing, tourist maps and other forms of official public signage.","Jen Hur and Avery Nabata’s project investigates the relationship between the commercial advertising that surrounds real estate development and site-specific outdoor installation.  By co-opting the billboard, scaffolding and lighting structures that are typical to these advertisements, Hur and Nabata subtly subvert these familiar features of Vancouver’s ever-changing cityscape in an interrogation of the utopic promises implicit in such developments.A significant departure from their usual interventions (which are usually staged without permission), their work for Bright Light appears more officially sanctioned.",Suzhou Alley (DTES),,DowntownEastside,49.28051600,-123.10430000,"Suzhou Alley: each ends of alley, BC Electric Bldg hoarding wall; Carrall Street (between Keefer & Pender), Carrall Street (between Pender & Hastings)",Other,"Alu-panel, Plants & Planting soil",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=479,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=479&ImageId=384,,340;346
480,We are watching - Bright Light,2010,Removed,"It is an installation piece that has two component in two different locations. One component is a large-scale, outdoor, public projection projection of unedited Olympic video clips. The audience can view the projection from the sidewalk outside the gated courtyard that is situated between buildings at 1 and 57 East Cordova Street. The security camera provides real-time surveillance of this audience and this surveillance is then projected into the Jeffrey Boone Gallery space.","We Are Watching, 2010 is a participatory video exhibition that teases ideas focused on public space, surveillance, public art policy and representational power. There are two components: a large-scale projection in public space, and an interior projection within the gallery fed by a live surveillance camera. By using participants’ video clips documenting the Vancouver 2010 Olympic, Paralympic and related events, viewers are asked to consider the ways in which the International Olympic Committee and the City of Vancouver is represented officially, and the alternative views that are largely dismissed, or written over, by the spectacle machine, which serves to homogenize the Canadian subjectivity. Issues explored are surveillance versus sousveillance, the ways in which we watch events, the ways in which we watch each other and the ways in which we are being watched.Participation consisted simply of video documenting the Olympic, Paralympic and Torch Relay events with cell phones (or any other video capturing device) and the clips were submitted by email and larger files were uploaded to an ftp site. The files were automatically pulled from the inbox and inserted into the video line-up at fifteen minute intervals. These clips were then projected onto the Gallery building, in a gated and locked courtyard, mimicing the inaccessibility of the Olympics. The people could gather on the sidewalk to watch the projection, and that area was monitored by the surveillance camera, which was projected on the wall in the gallery by a live. The gallery audience was essentially watching the audience outside watching the projection of the audience watching the Olympics. There is a two-part archival book project that accompanies the work and is available online at www.liddlethought.blogspot.com. The first part includes contextual texts by Kristina Lee Podesva and Danna Vajda  and images of the Torch Relay. The second part of the book will be available in April. It will function as an archive of the event as it unfolds over the time of the Olympic and Paralympic games. This book project will not only document the work, it will also function as a vehicle for the dissemination of the representations collected that provide an alternate view of the “official” versions sanctioned and circulated by VANOC and the City of Vancouver. Multiple subjectivities will add complexity to this overarching image of Vancouver. Rina Liddle is a visual artist, researcher and educator. At the core of her practice is the belief that art making is a polyvocal practice. Her work often takes the form of installations and interventions that deal with ideas regarding public space, and include digital media, photography, sculptural elements and collaborations. The material forms that she chooses are, for her, a means to renegotiate and make visible the conditions of the social body. Or something like that. Do you know what I mean? Subtle traces of the absurd in sociological methodologies are discernable in her work.",Jeffrey Boone Gallery,1 East Cordova Street,DowntownEastside,49.28257600,-123.10373400,Projection installed in 57 East Cordova Street and projected onto the east wall of 1 East Cordova Street. Security camera installed on south wall awning of 1 East Cordova Street. Projected inside the Jeffrey Boone Gallery and the wall opposite the window of 1 East Cordova Street,Other,Video,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=480,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=480&ImageId=385,,355
481,Procession of Performing Circles - Bright Light,2010,Removed,"A parade of 6 groups performing dance routines (Circle Dances), led by a Parade Marshall, with other artists giving out gifts of stick lights or carrying signs. The sign carriers asked spectators “What do you wish for Vancouver in the future?” They then wrote the replies on their signs and carried them in the procession. There was also a projector mounted on a Chinese bicycle rickshaw that projected archival photographs of the building along the route intercut with portrait shots of current people in front of the same buildings.","The producers of LIVE, a bi-annual performance art festival in Vancouver, join forces with local performers, community members and dance and theatre groups to present Procession of Performing Circles, a ceremonial parade of lights, dance, music and a bit of magic through the city’s Downtown Eastside neighbourhood. Curated by Glenn Lewis, the event includes works from choreographers Margaret Dragu, Coleen Lanki and Karen Jamieson with her Carnegie Centre troupe, as well as performances by Leaky Heaven Circus, Vancouver Carnival Band, Vancouver Morris men, Randy Gledhill, and others.",Downtown Eastside,"LIVE office, 21 E Pender St (Downtown Eastside)",DowntownEastside,49.28065000,-123.10407900,"The Procession took place on Carrall, Powell, Columbia, and Pender Streets",Other,"Procession with costumes, lighting materials, musical instruments, and signs on sticks.",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=481,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=481&ImageId=386,,356;357;358;359;360;361;362
482,Makeshift - Bright Light,2010,Removed,Two projections that reflected the process of a year long project called Makeshift. This dusk to dawn installation was visible to all passers by in the form of a circular backlit window projection.,"Makeshift is a year long project by Natalie Purschwitz during which time she will only wear things that she has made herself including all clothing, shoes etc.  Makeshift Bright Light illuminated the process and involvement of making clothing and made it accessible to anyone walking by in the evening. By creating awareness of the processes, viewers were shown the complexities of making clothes while simultaneously shedding light on the possibility and potential for anyone to do it.",‘Parking Spot’ (Downtown Eastside),"6 East Cordova Street, Vancouver, BC (Downtown Eastside)",DowntownEastside,49.28210700,-123.10372800,Cordova St at Carrall St in Gastown,Other,"Projections, water, light, installation",City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=482,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=482&ImageId=387,,363
483,Fearless City Mobile - Bright Light Edition,2010,Removed,"W2’s Fearless City streams mobile video projections and text messages, remixing social media to reveal our Downtown Eastside neighbourhood to local and Olympic visitors.  During public gatherings, VJs mix in interactive content from the public sending Tweets and SMS text messages.","Fearless City fosters public input about the Downtown Eastside neighborhood, its culture and environment. Participating artists include Suez Holland, Sammy Chien, AHA Media, as well as local residents and artists who have been involved in the W2 inner-city mobile technology project.",W2 Perel Building (Downtown),112 West Hastings (Dowtown),,,,Screens in the foyer of the W2 Perel Building,Other,Digital video projection and screens,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=483,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=483&ImageId=388,,364;460;465
484,Coming Soon,2010,Removed,,"As the initial public-art project for the Audain Gallery at SFU Woodward's, four visual artists who are SFU Alumni have been commissioned to create new site-specific public art works. Coming Soon will address the qualities of the neighbourhood and the context of the new location of the School for the Contemporary Arts.Kathy Slade will produce a work for the Audain Gallery’s front windows, to be installed mid-June as the final installment of the Coming Soon Exhibition.",Audain Gallery at SFU Woodward’s,149 West Hastings (Downtown Eastside),,49.28278800,-123.10776200,"Front windows of the gallery, facing W. Hastings Street",Other,,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=484,,,466
485,Lying on top of a building the clouds looked no nearer than when I was lying on the street…,2008,In place,"The artwork consists of a running line of repeated text:lyingontopofabuildingthecloudslookednonearerthanwhenIwaslyingonthestreet (lying on top of a building the clouds looked no nearer than when I was lying on the street…)This phrase is repeated on the lower half of the 48-storey building, demarcating those floors that are occupied by the Fairmont Pacific Rim Hotel. The 2’ high stainless steel letters stand proud of the building’s façade along narrow concrete fins that sharply turn and wrap the building’s most public corner.",“This artwork is designed for this specific location. Working closely with the architects and the curator/organiser of the project the extension of the concrete floor plan of the building was identified as a location for a text work. Having experimented with a number of different possibilities I decided to work with a text that could work on two sides of the building – a form of call and response rather than question and answer. The work is intended as a self-conscious reflection upon the idea of development and demonstrates a simple yet evocative response to the notion of progress and achievement. Much of my work deals with the semiotics of the built world. It tries to find a contingent position in between the idea of development and urbanism. The work is both a truism and a statement of desire.”,Fairmont Pacific Rim Vancouver,"1011 W Cordova, Vancouver",,49.28786800,-123.11632400,"The artwork is integrated into the façade of a mixed use, 800,000 square foot, 48-storey, highrisetower. The total 'field' the artwork occupies is approximately 28,260 square feet andextends from levels 5 to 22.",Site Work,Stainless steel,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=485,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=485&ImageId=389,Photo Credit: Colin Goldie,368
486,Girl in the City,2011,Removed,"Four 30-second animations that depict a character, Girl, as she wanders around Vancouver and interacts with various local landmarks.","I am interested in how certain human-made structures can function as stand-ins for a city. As icons, they become emblematic of a place. They appear and reappear in personal photographs, are reproduced into small plastic objects sold in tourist gift-shops, and are pictured in mass-produced postcards. These items become souvenirs, tokens of remembrance – in this case of an experience of a place -- that are meant to be severed from the original location and moment of experience, in order to be collected, shared, or circulated.Girl In The City follows the character Girl as she encounters some noted Vancouver landmarks. In the animations, Girl interacts with these structures, approaches them, then picks them up, revealing them to be toys or miniatures. She then takes them away with her, to add them to her collection of objects. The animations are 30 seconds each, the approximate length of a single television ad, and are meant to be played interspersed between regular programming on a screen.",Granville and Robson Screen (Downtown),"Corner of Granville and Robson Streets, Vancouver (Downtown)",,,,Video screen,Other,Digital animation,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=486,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=486&ImageId=390,,369
487,Then Again,2011,Removed,"Eight different photographic based works couple an image of a contemporary address with a postcard or letter sent to the same address as far back in time as 1907. The envelope occupies the lower register and the location is pictured above it. This was the first time the work was placed within the neighbourhoods represented, and was shown within the context of the street, outside a gallery. June 6th-July 4thJuly 4th-August 1stTitle of Artworks:4269 Victoria Drive 1959 / 2011901 Drake Street   1944 / 20111432 West 5th Avenue 1930 / 2011310 Granville Street 1961 / 20111877 West Broadway 1912 / 20116079 West Boulevard 1944 / 20111033 Thurlow Street 1907 / 20112102  Scotia Street 1924 / 2011","The project is ongoing and will eventually represent all the provinces in Canada. The architecture of language used to describe the past is my continuing interest. Here the project uses a dichotomy of dis-similar visual information about the same subject. Rather than the often used before and after images of place, this work injects both the place and the former residents within the same dialogue about Vancouver's past.",,Various (Transit Shelters),,49.23430300,-123.13881300,,Other,Light resistant inks,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=487,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=487&ImageId=391,,467
489,Aperture,2008,Removed,"Carol Sawyer - Trace Ingredients. Aperture Banners: late Feb. 2008-Sept. 2008; Library installation: Late April- Sept. 2008.Esther Shalev-Gerz - The Open Page. Aperture Banners: Early June 2009-Dec. 2009; Library installation: July 16-Dec. 2009/ Extended for the Olympic Games to Feb. 28, 2010; Public Artist’s Talk and Exhibition Launch: July 16, 2009, 6 pm, Special Collections Room and Boardroom, Level 7.Angela Grauerholz - Reading Room for the Working Artist: After Alexandr Rodchenko's “Reading Room for the USSR Workers’ Club”, in Paris, 1925, 2003-2004; Privation, 2005, series of Giclee print; Ladder of Ascent and Decent, 2008.",,Library Square Promenade,"Vancouver Public Library, 350 West Georgia Street, Vancouver",Downtown,49.27969800,-123.11555600,,Banners,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=489,,,277;370;371
490,Lines in architecture and art,2011,Removed,"The photomural on the west window is a repeated image of a coastal landscape emphasizing the line where the land and water meet at high tide. This perfectly level naturally occurring ""reveal"" is echoed in the surrounding architecture as the gap between the level plane of the floor and the vertical plane of the wall. The work is a subtle reflection on the relationship between the natural and built environments.","Lines in architecture and art is a large photomural of a section of coastal landscape, focusing on the frieze of land where forest and water meet, commonly called the high-water mark or high tide line.  This naturally occurring, perfectly level line – made evident by the saltwater rising to the level of the overhanging trees, makes a natural reveal, a feature seen and used in architecture to visually divide the floor from the wall.En route from the north coast back to Vancouver, I developed the idea to create this large format photographic mural.  A reveal is typically the empty space at the bottom of a wall, where a measured gap is left so the floor and wall do not meet.  In this proposed photomural we will see how the saltwater rises twice a day, cutting an acutely accurate level in the tree boughs as they hang down from the forest landscape.  My interest was first drawn to this subtle occurrence when I realized the visual similarity to the architectural reveal, seen in homes, galleries and museums, a feature that is essential in the contextualizing and display of artwork.For this mural I decided to repeat the same photo three times in order to draw attention to the architectural references of this work and remove it from the genre of pure photographic documentation.Situated within the public sphere this proposed photomural presents a very simple meeting of land and water, highlighting how we draw from different ecosystems, the ocean and the forest, to simultaneously sustain our city.  The allusion to the endless rise and fall of the tide will hopefully foster a connection to the changing of time and rethinking of urban space with an environmental sensitivity and an understanding of the shoreline that frames our city.",Canada Line Granville (Downtown),Granville Street and Georgia Street (Downtown),,,,West wall of transit entrance,Mural,Adhesive outdoor Non Permanent Vinyl,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=490,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=490&ImageId=392,,379
491,Benchmark,2009,In place,Benchmark is a community-involved public art project that engaged members of the Hastings Sunrise neighbourhood in transforming an underused pocket of green space into a vibrant social gathering place.,"Through an interview process local residents generated an archive of stories about the neighbourhood’s past and present. A selection of resulting anecdotes were integrated into the site through imagery and text. Sculptural seating in the form of ramped benches and cubes were created to provide increased opportunities for social interaction and pause, and to aesthetically enhance the existing green space.",,"East Hastings Street at Kamloops, NW corner",Hastings-Sunrise,,,,Site Work,,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=491,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=491&ImageId=850,Media Undefined,307;373
493,Adorno and Nose,2011,Removed,"A new project by the City of Vancouver Public Art program invites the public to whistle - or sing - while they wait at bus stops across Vancouver. Adorno and Nose, a series of ten songs composed and illustrated by Barry Doupé andJames Douglas Whitman, will be installed from August 15 to October 2, 2011 at 10 locations (listed below) and is one of 13 new public art projects commissioned by the City of Vancouver's Public Art Program for Vancouver 125.  Each poster consists of a song, notated as standard sheet music, the verse, and a drawn graphic. The songs are loosely structured and poetic and meant to engage those waiting for the bus. Complementing this public exhbition will be a performance of the songs on Saturday, September 3, 8pm at the Western Front, 303 East 8th Avenue. Site Address:    Water Street: 75 meters east of Cambie Street on the north side    West Pender Street: 20 meters east of Hamilton Street south side    Dundas Street: 20 metres east of Lakewood on the north side    East Broadway: 20 metres west of Slocan on the north side    East Hastings: 20 metres west of Victoria on the north side    Main Street: 20 metres north of east 57th on the east side    McGill Street: 20 metres west of Penticton on the north side    Nanaimo Street: 20 metres north of Charles on the east side    West 10th Avenue: 30 metres east of Trimble on the south side    West 41st Avenue: 28 metres west of Carnarvon on the north side","""The songs are invitations to play and divertissement, whether private, humming or singing to oneself, or performance, singing out loud to friends or strangers. …People will be surprised, will wonder what they're for. Since the greater part of music in public space is being used to sell things, whether through store ambiance or radio ads, what participation we are allowed is as passive consumers.  As artists, we are interested in the kinds of specific attention that happens when music is lifted out of these economies. The songs are simple melodies in the key of C. The basic musical training required to sight read the songs belongs to anyone who has gone through the high school band program, junior piano classes or been an avid reader of Guitar World magazine. The songs should be accessible to a large, if not very often addressed, audience. In a way these songs harken back to an earlier mode of music distribution, that of 19th century parlour music, sheet music meant to be sung at home with a piano.""",Ten bus shelters in Vancouver,,,,,Inside the poster cabinets,Other,paper,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=493,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=493&ImageId=939,,482;506
494,Wood Work,2011,Removed,"Wood Work is comprised of seven short video sequences, ranging in duration from 56 seconds to 1:49 seconds. The videos use as their source footage 16mm film shot in the Lower Mainland in the 1930’s by Alfred E Booth.","Carol Sawyer's video segments collectively titled Wood Work provide a fragmentary glimpse into the history of the logging and lumber industries in BC, employing historic local 16mm film footage shot in the 1930s by Alfred E. Booth. The source footage shows first growth trees being cut down by hand with axes and handsaws, sorted in booming grounds, and sawn into lumber. All of these activities are at the heart of Vancouver's history - a town founded on the site of a sawmill. The artist's careful selection and processing of these source images brings this history back into the present. Inserted into the flow of fast-paced modern advertising on the CoreVision Screens, the images seem grainy and dream-like, as if a memory of the land has returned to haunt the present.",Robson and Granville Video Screens,Northeast corner of Robson and Granville Streets,,,,CoreVision Video Screens,Other,digital video,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=494,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=494&ImageId=395,,277
495,Canoe,2011,Removed,2-minute animation,"This two-minute site-specific animation was created by digitally redrawing 1800 frames. Using a series of manipulations and special filters, each frame of the video is hand processed to select and replace the figure in motion with the background of the image, which is water and sky. In the final animated image, the canoeist is barely visible, seamlessly melded to the moving water and sky. The work was created for display on the Georgia Street CBC video situated near the end of False Creek by the Georgia Street Viaduct. Georgia Street was named in 1886 after its namesake, the Georgia Strait. This work marks the entrance to, and historic transportation on, the Salish Sea, via False Creek. The name Salish Sea is now officially recognized in both the United States (2009) and Canada (2010). Its major bodies of water are the Georgia Strait, Strait of Juan de Fuca, and Puget Sound. This work aims to connect the contemporary flow of urban traffic to the larger rural water-based traffic of both historic and contemporary times.",CBC Outdoor Video Billboard,Hamilton and Georgia,Downtown,49.28013100,-123.11420000,Side of building,Other,Digital Video. 1280 x x720p,City of Vancouver,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=495,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=495&ImageId=396,,507
496,The Belonging Action,2012,In place,"80 people participated to complete a painting 24' x 32', acrylics on panels, that speak the stories of migration of peoples and cultures to this land since time immemorial.","""what are your peoples' stories?...do you hear them spoken?...have you seen them written?...do you feel them walking?""                                                                                         The artist invited over eighty participants from all ages and backgrounds to reflect about their sense of belonging while looking back at the timeline of migration of peoples and cultures to this land since time immemorial. This is a self-envisioned project created and produced by independent local artists and community members. All of the content and artistic decision making emerged from five months of collective work with facilitators and participants in 2011. In no way does this mural intend to tell every story, rather to amplify undertold stories that are important to participants, and inspire more storytelling. Harbour Center generously allowed the use of the wall on Homer and Cordova. This project was partially funded by the City under Celebrate Vancouver 125 Mural Program.",Harbour Centre Parkade,350 W Cordova Street,Downtown,,,Wall facing East on Homer (Homer & Cordova),Mural,Acrylics on wood panels,Polaris Realty / Harbour Centre,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=496,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=496&ImageId=397,,468
497,St. James Mural,2011,In place,,"The St. James mural is an example of a dynamic collaboration with artists Joey Mallett and Rita Buchwitz. Together the team dug deep into the history of the area to produce a mural that is a reflection of the community, past and present: The smell of the smoke of ancient fires wafts up from the cedar baskets behind glass in the Museum of Anthropology, still. For artists Joey Mallett and Rita Buchwitz, who were studying Coast Salish basket patterns, the smoke was an integral part of the St. James mural because ""it is such a tangible connection to the past…"" A Salish design stamped on a totem pole, a branch of cedar, and an eagle circling above the area once known as Japantown, honor the history of the area. Pink cherry blossoms reach into the view above several old buildings still standing today - once a grocery, a rooming house - across the street from the Oppenheimer Park then a thriving Japanese fishing fleet that was confiscated during WW2, when the Japanese were sent to internment camps. The boats glow like a ghostly city at sunset. A school of herring swim in a wave of abundance - the herring roe industry was big then. Shells of shucked off clam shells formed a midden off what is now Crab Park. And the seagulls? They are as they were. The St. James Mural was funded by a grant from the City of Vancouver for Vancouver's 125th Anniversary.",St. James Community Services Society,Intersection at Gore and Powell Street Vancouver,DowntownEastside,,,north-east corner of Gore and Powell,Mural,Acrylic latex paint,St James Community Services Society/BC Housing,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=497,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=497&ImageId=736,,45
498,Evangeline and Flowers,2004,In place,,,Bayshore Drive in Coal Harbour,,Downtown,,,,Sculpture,,Privately Owned,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=498,https://covapp.vancouver.ca/PublicArtRegistry/ImageDisplay.aspx?AreaId=498&ImageId=399,,267
